id,family,genus,species,authority,subspecies,variety,breeding_system,isi,sexual_system,life_history,habit,stem_composition,height,stems_prickled,leaf_type,leaf_length,leaf_width,leaf_hairs,corolla_color,style_length,fruit_type,fruit_color,fruit_size,Notes,citekey
,Solanaceae,Acnistus,arborescens,(L.) Schlecht.,,,,0.12,,Perennial,Tree,,4.5,,,,,,white,10,Berry,,,"morphology from Flora of Costa Rica and Flora of Guatemala (Fieldiana); self fruit set = 0.88, outcross fruit set = 1.00, ISI = 0.12.",smith2007
,Solanaceae,Acnistus,arborescens,(L.) Schltdl.,,,SC,,,Perennial,,Woody,,,,,,,,,Berry,,,Heiser 1963; from Huziker 2001,smith2006
,Solanaceae,Alona,stenophylla,,,,,,,,Shrub,,"1.50, 3.00",,,,,,,,Berry,,,Page 22,johnston1936
,Solanaceae,Anisodus,acutangulus,C. Y. Wu & C. Chen,,,,,,,,,"1.00, 1.50",,Simple,"80.00, 150.00","30.00, 60.00",,"yellow, green, purple",,Capsule,,,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200020504,florachina
,Solanaceae,Anisodus,luridus,,,,,,,Perennial,,Herbaceous,,,,,,,,,Capsule,,,"octaploid, n=6; see Hunziker 2001",hunziker2001
,Solanaceae,Anisodus,luridus,,,,,,,Perennial,,Herbaceous,,,,,,,,,Capsule,,,"octaploid, n=6; see Hunziker 2001",tu2005
,Solanaceae,Anisodus,luridus,Link,,,,,,,,,"0.05, 1.20",,Simple,"70.00, 150.00","40.00, 85.00",Some,"yellow, green",,Capsule,,,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200020507,florachina
,Solanaceae,Anisodus,tanguticus,,,,SC,0.46,,Perennial,,Herbaceous,,,,,,,,,Berry,,,"Authors report as ""SI"" but find ISI=0.46 (averaged from two reported populations.) Text in Mandarin Chinese.",duan2007
,Solanaceae,Anisodus,tanguticus,(Maxim.) Pascher,,,,,,Perennial,,Herbaceous,,,,,,,,,Berry,,,"octaploid, n=6",tu2005
,Solanaceae,Anisodus,tanguticus,(Maximowicz) Pascher,,,,,,Perennial,Herb,,"0.40, 0.80",,Simple,"80.00, 200.00","25.00, 90.00",None,"yellow, green, purple",12,Capsule,,20,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200020508,florachina
,Solanaceae,Anthocercis,angustifolia,F. Muell.,,,,,,,Shrub,,2.5,,Simple,"2.00, 50.00","0.50, 6.00","None, Some","white, cream, yellow",,Capsule,,"4.00, 9.00",Page 8,haegi1982
,Solanaceae,Anthocercis,angustifolia,F. Muell.,,,,,,,Shrub,,2.5,,,"2.00, 50.00","0.50, 6.00",,"white, cream, light yellow, purple",,Capsule,,"5.00, 9.00",Geographic information: map. http://www.flora.sa.gov.au/cgi-bin/speciesfacts_display.cgi?genus=Anthocercis&species=angustifolia,eflorasa
,Solanaceae,Anthocercis,anisantha,Endl.,,,,,,,Shrub,,2.5,Yes,,"1.50, 14.00","0.50, 4.00",,"red, light yellow, green, purple, brown",,Capsule,,"5.00, 9.00",Geographic information: map. http://www.flora.sa.gov.au/cgi-bin/speciesfacts_display.cgi?genus=Anthocercis&species=anisantha,eflorasa
,Solanaceae,Anthocercis,anisantha,Endl.,,,,,,,Shrub,,3,Yes,Simple,"3.00, 14.00","1.00, 3.00",,"white, red, yellow, purple, brown",,Capsule,,"4.50, 9.00",Page 12. Contains ssp. anisantha and ssp. collina,haegi1982
,Solanaceae,Anthocercis,fasciculata,F. Muell.,,,,,,,Shrub,,3.5,,Simple,"11.00, 45.00","3.00, 10.00",,white,,Capsule,,"6.00, 9.00",Page 8,haegi1982
,Solanaceae,Anthocercis,genistoides,Miers,,,,,,,Shrub,,3,Yes,Simple,"5.00, 30.00",2,"None, Some","white, cream, red, green, purple, brown",,Capsule,,"6.00, 8.00",Page 11,haegi1982
,Solanaceae,Anthocercis,gracilis,,,,SI,1,Hermaphrodite,Perennial,Herb,,,,,,,,"yellow, light purple",,Capsule,,,,stace1995
,Solanaceae,Anthocercis,gracilis,Benth.,,,,,,,Shrub,,0.6,,Simple,"3.00, 27.00","1.00, 2.00",,"yellow, green, purple",,Capsule,,"6.50, 10.00",Page 12,haegi1982
